task_id,project_duration_days,task_duration_days,completion_percentage,delay_days,workers_assigned,material_shortage_flag,predicted_completion_days_left,estimated_extra_workers,recommended_schedule_change
1,152,9,98,9,10,0,9,0,Add 1 shift/week
2,183,37,10,4,6,1,37,3,Increase Overtime
3,217,46,47,6,5,0,30,3,No Change
4,318,60,71,0,8,1,17,3,Add 1 shift/week
5,345,33,85,7,4,0,11,1,Add 1 shift/week
6,267,39,51,13,6,1,32,1,No Change
7,224,23,29,13,8,0,29,3,Add 1 shift/week
8,96,28,1,5,10,1,32,3,Reassign Workers
9,286,21,32,0,4,1,14,3,Reassign Workers
10,284,28,80,11,5,1,16,0,Increase Overtime
11,259,51,20,10,7,1,50,1,Increase Overtime
12,133,16,39,7,2,0,16,3,Add 1 shift/week
13,231,46,53,0,9,0,21,1,No Change
14,152,29,90,7,1,0,9,2,Add 1 shift/week
15,321,9,61,3,4,0,6,2,Increase Overtime
16,154,15,72,5,9,0,9,2,Reassign Workers
17,200,15,69,7,4,0,11,1,No Change
18,269,40,99,14,1,0,14,3,Add 1 shift/week
19,104,47,29,9,9,0,42,1,Reassign Workers
20,307,35,41,5,6,0,25,0,No Change
21,290,55,8,3,5,0,53,0,Add 1 shift/week
22,94,37,94,12,3,0,14,1,No Change
23,264,7,17,9,4,1,14,3,Reassign Workers
24,209,35,9,6,10,1,37,2,Add 1 shift/week
25,229,46,71,14,3,1,27,0,Increase Overtime
26,329,44,8,15,4,0,55,0,Reassign Workers
27,163,42,87,0,8,0,5,2,Increase Overtime
28,353,33,18,14,1,0,41,0,Reassign Workers
29,333,35,97,14,8,0,15,0,Increase Overtime
30,195,52,63,0,10,1,19,0,Add 1 shift/week
31,121,42,74,4,10,0,14,3,Add 1 shift/week
32,289,39,37,2,6,1,26,1,No Change
33,218,11,18,8,3,0,17,0,Add 1 shift/week
34,283,49,38,11,2,0,41,3,Increase Overtime
35,313,46,45,5,8,0,30,1,Increase Overtime
36,254,22,49,1,8,0,12,2,Add 1 shift/week
37,223,50,31,7,4,0,41,2,Increase Overtime
38,357,33,84,8,9,1,13,3,Add 1 shift/week
39,118,27,82,5,9,1,9,2,Increase Overtime
40,220,60,41,3,4,0,38,3,No Change
41,284,7,24,4,3,0,9,0,Reassign Workers
42,165,35,78,14,9,0,21,0,Increase Overtime
43,140,57,8,3,10,1,55,1,Reassign Workers
44,236,25,34,13,10,0,29,2,Reassign Workers
45,139,57,1,11,6,0,67,1,Increase Overtime
46,145,59,8,1,9,0,55,3,Add 1 shift/week
47,167,15,24,13,4,1,24,0,Increase Overtime
48,96,40,48,10,7,0,30,2,Add 1 shift/week
49,149,31,43,2,2,0,19,0,Increase Overtime
50,277,36,32,9,7,0,33,3,Reassign Workers
51,362,8,10,8,8,0,15,1,No Change
52,196,22,30,12,5,0,27,1,Reassign Workers
53,123,59,95,8,3,0,10,2,Add 1 shift/week
54,286,49,11,7,9,0,50,1,Reassign Workers
55,167,8,74,13,2,1,15,3,Increase Overtime
56,230,46,45,13,1,0,38,1,Add 1 shift/week
57,285,37,77,2,5,1,10,2,Add 1 shift/week
58,286,35,70,14,7,1,24,3,Add 1 shift/week
59,324,52,3,2,3,1,52,3,Increase Overtime
60,310,23,38,0,1,0,14,2,Add 1 shift/week
61,312,14,7,13,2,0,26,2,Add 1 shift/week
62,285,35,78,3,7,1,10,2,Add 1 shift/week
63,189,34,93,5,7,1,7,1,Add 1 shift/week
64,192,28,73,9,3,1,16,0,No Change
65,111,12,66,15,5,0,19,0,Reassign Workers
66,353,31,88,15,3,0,18,0,Reassign Workers
67,365,18,45,7,10,1,16,1,Increase Overtime
68,108,36,45,8,7,0,27,3,No Change
69,323,10,77,7,2,0,9,0,Add 1 shift/week
70,150,30,21,1,4,0,24,1,Add 1 shift/week
71,255,20,70,13,2,1,19,2,Reassign Workers
72,215,19,45,3,6,1,13,2,No Change
73,188,60,83,5,3,1,15,1,Reassign Workers
74,198,21,70,6,2,0,12,0,Increase Overtime
75,259,28,40,4,3,0,20,0,Add 1 shift/week
76,174,38,38,6,5,0,29,1,Reassign Workers
77,200,11,10,5,2,0,14,3,No Change
78,222,22,44,1,3,1,13,0,Add 1 shift/week
79,348,53,33,7,10,0,42,0,Increase Overtime
80,123,28,20,1,1,1,23,0,Reassign Workers
81,105,14,22,0,7,1,10,0,Increase Overtime
82,178,49,73,9,4,1,22,1,Add 1 shift/week
83,266,8,84,9,1,0,10,3,Reassign Workers
84,290,59,37,8,1,0,45,2,No Change
85,150,12,8,11,9,0,22,3,Add 1 shift/week
86,269,14,4,10,10,0,23,1,Reassign Workers
87,224,54,48,3,10,0,31,3,Increase Overtime
88,275,17,64,13,8,0,19,2,Reassign Workers
